Title: Title Card Required
Chemical formula: O2C6H10
Electronic energy [au]: -384.81576
Zero-point contribution [kJ/mol]: 395.0984034
Zero-point energy [au]: -384.66528
Contributions to the partition function:
  ELECTRONIC
    Multiplicity: 1
    Electronic energy: -384.8157635
  HINDERED_ROTOR_8_9_10_11_13
    Dihedral indexes: 3 2 12 8
    Top indexes: 8 9 10 11 13
    Rotational symmetry: 1
    Even potential: False
    This is a hindered rotor
    Maximum number of cosines in the fit: 14
    RMSD of the fit [kJ/mol]: 0.00
    Relative RMSD of the fit the fit [%]: 0.2
    Pearson R^2 of the fit [%]: 100.000
    Potential: Angle [deg]    Energy [kJ/mol]
        5.03    5.32    5.32    5.62    5.62    5.93    5.93    6.26
        6.26    6.60    6.60    6.95    6.95    7.31    7.31    7.69
        7.69    8.08    8.08    8.48    8.48    8.89    8.89    9.32
        9.32    9.76    9.76   10.21   10.21   10.67   10.67   11.15
       11.15   11.63   11.63   12.13   12.13   12.64   12.64   13.16
       13.16   13.70   13.70   14.25   14.25   14.81   14.81   15.38
       15.38   15.96   15.96   16.56   16.56   17.16   17.16   17.78
       17.78   18.42   18.42   19.06   19.06   19.72   19.72   20.38
       20.38   21.06   21.06   21.76   21.76   22.46   22.46   23.18
       23.18   23.91   23.91   24.65   24.65   25.40   25.40   26.16
       26.16   26.94   26.94   27.73   27.73   28.53   28.53   29.34
       29.34   30.17   30.17   31.00   31.00   31.85   31.85   32.71
       32.71   33.59   33.59   34.47   34.47   35.37   35.37   36.28
       36.28   37.20   37.20   38.13   38.13   39.08   39.08   40.04
       40.04   41.01   41.01   41.99   41.99   42.98   42.98   43.99
       43.99   45.01   45.01   46.04   46.04   47.08   47.08   48.13
       48.13   49.20   49.20   50.28   50.28   51.37   51.37   52.47
       52.47   53.58   53.58   54.71   54.71   55.85   55.85   57.00
       57.00   58.16   58.16   59.33   59.33   60.52   60.52   61.72
    Number of basis functions: 401
    Zero-point contribution [kJ/mol]: -0.1225906
  ROTATIONAL
    Rotational symmetry number: 1
    Moments of inertia [amu*bohr**2]: 772.261152  1191.005688 1459.061137
    Threshold for non-zero moments of inertia [amu*bohr**2]: 5.485799e-04
    Non-zero moments of inertia: 3
  TRANSLATIONAL
    Dimension: 3
    Constant pressure: True
    Pressure [bar]: 1.01325
      BIG FAT WARNING!!!
      This is an NpT partition function.
      Internal heat contains a PV term (and is therefore the enthalpy).
      Free energy contains a PV term (and is therefore the Gibbs free energy).
      The heat capacity is computed at constant pressure.
    Mass [amu]: 114.068080
  VIBRATIONAL
    Number of zero wavenumbers: 0 
    Number of real wavenumbers: 48 
    Number of imaginary wavenumbers: 0
    Frequency scaling factor: 1.0000
    Zero-point scaling factor: 1.0000
    Real Wavenumbers [1/cm]:
        31.3    34.9    44.9    81.5   109.5   118.7   125.4   244.3
       338.2   426.7   597.7   621.5   663.1   735.6   803.4   847.2
       905.8   939.4   996.1  1039.5  1061.3  1070.8  1101.8  1112.8
      1173.9  1187.4  1248.8  1255.6  1397.6  1408.9  1430.3  1487.2
      1496.4  1502.3  1509.0  1526.7  1541.8  1631.9  3022.4  3057.0
      3077.7  3118.6  3139.9  3151.7  3262.5  3274.5  3303.4  3818.8
    Zero-point contribution [kJ/mol]: 395.2209940
